Nombre,Marca,Peso,Precio,Imagen,Categoria,Subcategoria,Consulta_Nombre,Consulta_Categoria,
Fideos largos tallarin,Don Vicente,500 grs,739.01,https://img.xrp.net/fb2de06e-5378-452a-9eee-058bfcb21f34/ba06821b_7790070318114_m.jpg,Almacen,Pastas Secas,Fideos largos tallarin Don Vicente de 500 grs,Almacen Pastas Secas, 
Fideos caserito,Don Vicente,500 grs,739.01,https://img.xrp.net/fb2de06e-5378-452a-9eee-058bfcb21f34/c7f5d382_7790070318138_m.jpg,Almacen,Pastas Secas,Fideos caserito Don Vicente de 500 grs,Almacen Pastas Secas, 
Fideos Tirabuzon,Don Vicente,500 grs,739.02,https://img.xrp.net/fb2de06e-5378-452a-9eee-058bfcb21f34/f1a0fe22_7790070318176_m.jpg,Almacen,Pastas Secas,Fideos Tirabuzon Don Vicente de 500 grs,Almacen Pastas Secas, 
Fideos Nido fettuccine,Lucchetti,500 grs,547.47,https://img.xrp.net/fb2de06e-5378-452a-9eee-058bfcb21f34/86d35979_7790070318312_m.jpg,Almacen,Pastas Secas,Fideos Nido fettuccine Lucchetti de 500 grs,Almacen Pastas Secas, 
Fideos coditos,Lucchetti,500 grs,342.18,https://img.xrp.net/fb2de06e-5378-452a-9eee-058bfcb21f34/41eb3b08_7790070318343_m.jpg,Almacen,Pastas Secas,Fideos coditos Lucchetti de 500 grs,Almacen Pastas Secas, 
Fideos Moños Super,Lucchetti,500 grs,547.49,https://img.xrp.net/fb2de06e-5378-452a-9eee-058bfcb21f34/7f59196b_7790070318350_m.jpg,Almacen,Pastas Secas,Fideos Moños Super Lucchetti de 500 grs,Almacen Pastas Secas, 
Fideos letritas soperos,Lucchetti,500 grs,342.18,https://img.xrp.net/fb2de06e-5378-452a-9eee-058bfcb21f34/b82f0068_7790070318381_m.jpg,Almacen,Pastas Secas,Fideos letritas soperos Lucchetti de 500 grs,Almacen Pastas Secas, 
Fideos dedalitos soperos,Lucchetti,500 grs,342.18,https://img.xrp.net/fb2de06e-5378-452a-9eee-058bfcb21f34/c84caaf7_7790070318398_m.jpg,Almacen,Pastas Secas,Fideos dedalitos soperos Lucchetti de 500 grs,Almacen Pastas Secas, 
Fideos codito,Matarazzo,500 grs,415.18,https://img.xrp.net/fb2de06e-5378-452a-9eee-058bfcb21f34/d420a709_7790070318619_m.jpg,Almacen,Pastas Secas,Fideos codito Matarazzo de 500 grs,Almacen Pastas Secas, 
Fideos spaghetti,Matarazzo,500 grs,432.45,https://img.xrp.net/fb2de06e-5378-452a-9eee-058bfcb21f34/027d817b_7790070318640_m.jpg,Almacen,Pastas Secas,Fideos spaghetti Matarazzo de 500 grs,Almacen Pastas Secas, 
